"Commwnt","Designator","Footprint","JLCPCB"
"1k","R33","RES_1206","C4410"
"10k","R34","RES_1206","C17902"
"10K","R35","RES_1206_L","C17902"
"1k","R36","RES_1206","C4410"
"10k","R37","RES_1206","C17902"
"470R","R38","RES_1206","C4502"
"RESET","RESET","B3F-1","C93157"
"Led Blue","RX","LED_1206(3216 Metric)_N_Green","C130717"
"B3F-1000","S1","B3F-1","C93157"
"B3F-1000","S2","B3F-1","C93157"
"B3F-1000","S3","B3F-1","C93157"
"B3F-1000","S4","B3F-1","C93157"
"XKB8080-Z","S5","CK_PVA2-H2","C318860"
"56R","THERMO","RES-20.32/15.2x5.1","C121802"
"Led Yellow","TX","LED_1206(3216 Metric)_N_Green","C93094"
"TX-RX","TX-RX","HDR-1x4T/2.54/10x2","C124378"
"MCP9700T-E/TT","U1","SOT23-3P95_237X112L50X42N","C42288"
"PIC16F887","U2","DIP-40/600mil",""
"ULN2803ADW","U3","SOIC18P127_1155X1030X265L83X41N_AD3","C33924"
"CJ7805 3%","U4","DPAK3P229_990X238L159X76T501X546N_AP4","C21706"
"ULN2803ADW","U5","SOIC18P127_1155X1030X265L83X41N_AD3","C33924"
"Led Red","Uc","LED_1206(3216 Metric)_N_Green","C559117"
"4N25SM","VO1","SDIP-6","C433444 "
"4N25SM","VO2","SDIP-6","C433444 "
"4N25SM","VO3","SDIP-6","C433444 "
"4N25SM","VO4","SDIP-6","C433444 "
"4N25SM","VO5","SDIP-6","C433444 "
"12MHz","Y1","HC-49U","C240920"
